Symbol
NVDA
AAPL
MSFT
AMZN
GOOGL
GOOG
AVGO
META
TSLA
BRK.B
LLY
JPM
WMT
V
ORCL
XOM
MA
NFLX
JNJ
ABBV
PLTR
AMD
COST
BAC
HD
PG
GE
CVX
KO
UNH
CSCO
IBM
WFC
MS
MU
CAT
AXP
GS
PM
TMUS
RTX
MRK
CRM
ABT
TMO
MCD
ISRG
LIN
PEP
UBER
LRCX
DIS
APP
QCOM
AMGN
T
C
INTU
AMAT
NEE
NOW
VZ
INTC
SCHW
BLK
APH
ANET
BKNG
TJX
DHR
GILD
BSX
ACN
KLAC
SPGI
PFE
TXN
BA
GEV
SYK
ADBE
PANW
COF
ETN
CRWD
UNP
WELL
PGR
LOW
DE
HON
MDT
ADI
CB
PLD
COP
VRTX
HOOD
HCA
BX
PH
KKR
LMT
CEG
MCK
CME
ADP
CMCSA
SO
BMY
CVS
NEM
SBUX
MO
NKE
DUK
GD
TT
DELL
MMM
MMC
MCO
ICE
CDNS
AMT
SHW
DASH
ORLY
WM
UPS
HWM
NOC
JCI
EQIX
MAR
BK
COIN
APO
TDG
CTAS
AON
REGN
ECL
MDLZ
USB
SNPS
ABNB
ELV
CI
PNC
WMB
EMR
ITW
RCL
GLW
COR
TEL
MNST
GM
AJG
AEP
DDOG
CSX
PWR
CMI
MSI
TRV
AZO
NSC
RSG
HLT
CL
FDX
ADSK
PYPL
FTNT
SRE
SPG
AFL
KMI
WDAY
EOG
MPC
FCX
APD
TFC
VST
STX
IDXX
PSX
BDX
LHX
DLR
ALL
WBD
SLB
WDC
URI
VLO
ZTS
F
ROST
O
MET
D
PCAR
NXPI
EA
NDAQ
EW
CAH
ROP
PSA
XEL
BKR
CARR
FAST
EXC
CBRE
GWW
CTVA
LVS
AME
AXON
MPWR
TTWO
OKE
KR
AMP
MSCI
DHI
ROK
A
ETR
AIG
FICO
FANG
TGT
CMG
YUM
OXY
PEG
CPRT
CCI
PAYX
DAL
EBAY
IQV
VMC
XYZ
EQT
GRMN
PRU
HIG
RMD
PCG
KDP
MLM
TRGP
WEC
HSY
ED
XYL
VTR
SYY
CTSH
OTIS
WAB
KMB
CCL
GEHC
FIS
ACGL
STT
NUE
EXPE
VICI
EL
KVUE
RJF
NRG
UAL
LYV
LEN
KEYS
WTW
HPE
IR
IBKR
VRSK
MCHP
KHC
TSCO
MTD
WRB
CSGP
HUM
K
DTE
MTB
ATO
ODFL
FITB
ADM
AEE
EXE
EXR
ROL
FSLR
EME
ES
BRO
CBOE
IRM
PPL
SYF
CHTR
FE
TER
BR
CINF
CNP
STE
EFX
AWK
GIS
DOV
AVB
HBAN
NTRS
VLTO
LDOS
BIIB
TDY
ULTA
HPQ
PODD
VRSN
PHM
HUBB
TPL
DXCM
HAL
WAT
WSM
DG
STZ
TROW
EIX
CMS
EQR
STLD
CFG
LH
RF
DVN
PPG
NTAP
L
JBL
SMCI
DGX
PTC
SBAC
INCY
DLTR
TTD
TPR
CHD
DRI
LULU
NI
RL
IP
TYL
NVR
AMCR
ON
CPAY
CTRA
WST
KEY
CDW
TSN
BG
TRMB
PFG
EXPD
SW
J
GPN
Q
PKG
CHRW
ZBH
GPC
GDDY
CNC
MKC
PNR
APTV
SNA
EVRG
LNT
INVH
LUV
IFF
DD
LII
PSKY
IT
FTV
GEN
HOLX
ESS
DOW
WY
BBY
JBHT
MAA
ERIE
LYB
TXT
TKO
COO
ALLE
UHS
OMC
FOX
KIM
DPZ
EG
FOXA
FFIV
ALB
AVY
BF.B
CF
NDSN
SOLV
MAS
AKAM
WYNN
BALL
CLX
REG
VTRS
IEX
ZBRA
HRL
HII
DOC
DECK
HST
JKHY
SJM
BEN
BLDR
UDR
AIZ
BXP
HAS
DAY
CPT
RVTY
IVZ
GL
PNW
SWK
FDS
SWKS
ALGN
EPAM
MRNA
NWSA
AES
BAX
TECH
CPB
POOL
TAP
AOS
GNRC
IPG
MGM
ARE
PAYC
DVA
APA
HSIC
NCLH
FRT
CRL
CAG
MOS
LW
LKQ
MTCH
SOLS
MOH
MHK
NWS
FISV
